name,address,rating,review_count,website,maps_url,status,lead_score
Springdale Automotive Centers,"12200 Shelbyville Rd, Louisville, KY 40243, USA",4.6,394,https://www.greatwater360autocare.com/shops/springdale-automotive-shelbyville,https://maps.google.com/?cid=4209464183456767834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
ARS / Rescue Rooter,"4071 Powell Ave, Nashville, TN 37204, USA",4.6,4725,https://www.ars.com/nashville?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,https://maps.google.com/?cid=6509421388762797279&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,8.0
West 10th Dental Group,"6443 W 10th St #204, Indianapolis, IN 46214, USA",4.7,3848,https://west10thdentalgroup.com/,https://maps.google.com/?cid=6749477915530105026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
24/7 Dental - Emergency Dental Care,"973 Shadeland Ave, Indianapolis, IN 46219, USA",4.7,1240,https://247dental.com/indianapolis-in-shadeland/,https://maps.google.com/?cid=10226919407665174781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Westend Dental,"3611 W 16th St, Indianapolis, IN 46222, USA",4.7,932,https://www.mywestenddental.com/,https://maps.google.com/?cid=5622598229357566998&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Springhurst Hills Dentistry,"10494 Westport Rd Ste 107, Louisville, KY 40241, USA",4.7,187,https://springhursthillsdentistry.com/,https://maps.google.com/?cid=7143504929348504271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Ty's Automotive,"5050 N Keystone Ave, Indianapolis, IN 46205, USA",4.7,257,http://tysauto.com/,https://maps.google.com/?cid=18133743788722713735&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Autohaus Merkle,"3663 W Michigan St, Indianapolis, IN 46222, USA",4.7,297,http://www.autohausmerkle.com/,https://maps.google.com/?cid=1567095747729130424&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Discount Auto Repair,"12114 E Washington St, Indianapolis, IN 46229, USA",4.7,163,http://discountautorepairin.com/,https://maps.google.com/?cid=17042543937530481191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
ASG Automotive,"5841 Thunderbird Rd Ste.3, Indianapolis, IN 46236, USA",4.7,557,https://asgindy.com/?utm_campaign=gmb&utm_medium=traffic&utm_source=gmb,https://maps.google.com/?cid=18408299838970099988&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
"Sal's Heating & Cooling, Plumbing & Sewer","5570 Shepherdsville Rd, Louisville, KY 40228, USA",4.7,558,https://salslouisville.com/,https://maps.google.com/?cid=5897133380336031969&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Emergency Dental of Nashville,"15576 Old Hickory Blvd, Nashville, TN 37211, USA",4.7,1268,https://emergencydentalofnashville.com/,https://maps.google.com/?cid=9333098763927016472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Downtown Dental Nashville,"101 Union St N, Nashville, TN 37201, USA",4.7,409,https://www.downtowndentalnashville.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://maps.google.com/?cid=16295939438168872897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Tony's Brake & Alignment,"4800 Poplar Level Rd, Louisville, KY 40213, USA",4.7,1067,http://www.tonysbrake.com/,https://maps.google.com/?cid=4401929834003964343&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Barnes Auto Service,"3800 Bishop Ln, Louisville, KY 40218, USA",4.7,415,https://www.barnesautoservice.com/,https://maps.google.com/?cid=1609200327288262393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Springdale Automotive Centers,"8005 Brownsboro Rd, Louisville, KY 40241, USA",4.7,490,https://www.greatwater360autocare.com/shops/springdale-automotive-brownsboro,https://maps.google.com/?cid=16186400624146659695&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
ImportDoktor,"1387 Lexington Rd, Louisville, KY 40206, USA",4.7,305,http://www.importdoktor.com/,https://maps.google.com/?cid=9118265355940175021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Aire Serv of Nashville,"475 Metroplex Dr Suite 101-B, Nashville, TN 37211, USA",4.7,347,https://www.aireserv.com/nashville/?cid=LSTL_ASV-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic,https://maps.google.com/?cid=1292814314007809831&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Maynard Plumbing Heating and Cooling,"1814 State St, Nashville, TN 37203, USA",4.7,1442,https://themaynardman.com/?utm_source=google&utm_medium=gbp&se_campaign=gbp,https://maps.google.com/?cid=13806166317920842887&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,6.0
Mortenson Family Dental,"1430 Poplar Level Rd, Louisville, KY 40217, USA",4.8,888,https://mortensondental.com/locations/audubon/,https://maps.google.com/?cid=163091035935473503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
St. Matthews Dental Care,"100 Marshall Dr, Louisville, KY 40207, USA",4.8,977,http://stmatthewsdental.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=14263929541827929723&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
Crescent Hill Dental Care,"2416 Frankfort Ave Ste 3, Louisville, KY 40206, USA",4.8,786,http://crescenthilldentalcare.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17580313001772413864&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
St. Matthews Family Dental,"156 Thierman Ln, Louisville, KY 40207, USA",4.8,627,https://familydental502.com/,https://maps.google.com/?cid=9272654900879278907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,4.0
